"","Target","Correlation","n","r","p","q"
"1","ADCYAP1R1","RUNX1",547,0.14322744163319,0.000780890448078297,0.0102491871310277
"2","ADCYAP1R1","CDC42",547,0.08192678741065,0.0554997666413399,0.181729470684002
"3","ADCYAP1R1","LPAR1",547,0.076176046577992,0.0750564321463214,0.220303866673645
"4","ADCYAP1R1","KRAS",547,-0.0741344465395177,0.0832243131496803,0.22996191791359
"5","ADCYAP1R1","S1PR1",547,0.0665793099859791,0.119869179421052,0.292860828223053
"6","ADCYAP1R1","TP53",547,-0.0612410978524947,0.152609426353443,0.32047979534223
"7","ADCYAP1R1","LPAR6",547,-0.0555642654368569,0.194435642883268,0.352865835718728
"8","ADCYAP1R1","HRAS",547,-0.0481357418198446,0.261065460832387,0.440591197837611
"9","ADCYAP1R1","ATF1",547,-0.0434353832174945,0.310571870641361,0.494091612383984
"10","ADCYAP1R1","PML",547,0.0280392971422033,0.512846110216661,0.673110519659368
"11","ADCYAP1R1","LPAR2",547,-0.0275679442195711,0.51995986255339,0.67402204405069
"12","ADCYAP1R1","NRAS",547,0.025246190258566,0.555725864315252,0.697891407128023
"13","ADCYAP1R1","MRAS",547,0.0188697965731156,0.659678549472751,0.762428728104498
"14","ADCYAP1R1","LPAR5",547,0.0145674210552793,0.733900249370023,0.811152907198446
"15","ATF1","NRAS",704,-0.130977733959768,0.000493838945855314,0.00740758418782971
"16","ATF1","RUNX1",704,-0.122605682189037,0.00111561210937353,0.0130154746093579
"17","ATF1","CDC42",704,0.110428446560687,0.00334874279663584,0.0351617993646764
"18","ATF1","TP53",704,-0.0829962108463482,0.0276635236377772,0.107580369702467
"19","ATF1","PML",704,0.0586620253661738,0.119933482034203,0.292860828223053
"20","ATF1","LPAR5",702,0.0596896816925259,0.114087250665839,0.292860828223053
"21","ATF1","MRAS",704,-0.0508848189188793,0.17746504766144,0.345070926008356
"22","ATF1","HRAS",704,-0.0420122506397153,0.265613250813858,0.440591197837611
"23","ATF1","LPAR6",701,0.03550908046283,0.347848320168275,0.541202102144294
"24","ATF1","LPAR2",702,0.0348811116867849,0.356101661225022,0.541893832298946
"25","ATF1","KRAS",704,-0.0225377627174317,0.550502303245375,0.697891407128023
"26","ATF1","LPAR1",701,0.0178159887154485,0.637712945362084,0.75676820494172
"27","ATF1","S1PR1",701,-0.0132628365218767,0.725932751352244,0.810882328638145
"28","CDC42","KRAS",704,-0.142827396756025,0.000143291979860819,0.0030091315770772
"29","CDC42","TP53",704,-0.0938961392523204,0.0126873267776176,0.0675279875370029
"30","CDC42","LPAR1",701,0.0881770655517832,0.0195436882289612,0.0855036360017054
"31","CDC42","RUNX1",704,-0.0728386723519004,0.0533890664455671,0.180833934734985
"32","CDC42","LPAR6",701,-0.070840407602372,0.060846721743108,0.187908993618422
"33","CDC42","PML",704,-0.0587828715497442,0.119171183268729,0.292860828223053
"34","CDC42","S1PR1",701,-0.0556618379518563,0.140956946108206,0.314903815773651
"35","CDC42","HRAS",704,0.0341638508450469,0.365400328381261,0.543336244542983
"36","CDC42","MRAS",704,-0.0247640204987536,0.511826246094298,0.673110519659368
"37","CDC42","NRAS",704,-0.0165680186465635,0.660771564357232,0.762428728104498
"38","CDC42","LPAR5",702,0.00667946895778681,0.859774672949718,0.921187149588984
"39","CDC42","LPAR2",702,0.000754556340326518,0.984078026954955,0.994932293726136
"40","HRAS","MRAS",704,-0.0972250911589816,0.00984556603271358,0.0675279875370029
"41","HRAS","LPAR6",701,0.0772338654764623,0.0409258963489648,0.153472111308618
"42","HRAS","NRAS",704,0.0717356074244724,0.0571149765006863,0.181729470684002
"43","HRAS","PML",704,0.0567750805339346,0.132336869376196,0.302309550610251
"44","HRAS","KRAS",704,0.0547780760569194,0.146519930503981,0.318609623305298
"45","HRAS","TP53",704,0.0492755011000623,0.191587646801601,0.352865835718728
"46","HRAS","LPAR5",702,0.0455574973135519,0.227997354907715,0.398995371088502
"47","HRAS","S1PR1",701,-0.0296484140236827,0.433184000996065,0.606354563465401
"48","HRAS","LPAR1",701,-0.0221451333544577,0.558313125702418,0.697891407128023
"49","HRAS","RUNX1",704,0.0192846922351094,0.609477842991865,0.750325836152429
"50","HRAS","LPAR2",702,-0.00187711403866686,0.960404426039359,0.988651615040517
"51","KRAS","LPAR2",704,0.153380817613422,4.37691481163408e-05,0.00153192018407193
"52","KRAS","NRAS",706,-0.0929452728736705,0.0134889970512783,0.0675279875370029
"53","KRAS","MRAS",705,-0.0953714463784968,0.0112906968999416,0.0675279875370029
"54","KRAS","RUNX1",704,0.067025108685093,0.0755327542881068,0.220303866673645
"55","KRAS","S1PR1",702,0.0568408772601465,0.132440374553062,0.302309550610251
"56","KRAS","LPAR1",702,-0.0529341175515824,0.161217859718474,0.32906226163688
"57","KRAS","TP53",706,0.0450253635271687,0.232149653923895,0.399601863311622
"58","KRAS","LPAR6",702,0.0331446799319645,0.380566161869497,0.554992319393016
"59","KRAS","PML",704,-0.0190116664419226,0.614552589610561,0.750325836152429
"60","KRAS","LPAR5",704,0.0135582540391945,0.719506538983488,0.810882328638145
"61","LPAR1","TP53",702,-0.170742397267393,5.38367914204703e-06,0.000565286309914939
"62","LPAR1","LPAR2",701,-0.0918904960392225,0.0149437690470891,0.0713225340883798
"63","LPAR1","S1PR1",702,0.0911921767089788,0.0156535640073755,0.0714619226423663
"64","LPAR1","PML",701,-0.0546031926458624,0.148684490875806,0.318609623305298
"65","LPAR1","NRAS",702,0.052250639799622,0.166703787597371,0.330262220711773
"66","LPAR1","RUNX1",701,-0.0353148887460193,0.350492789960114,0.541202102144294
"67","LPAR1","LPAR6",702,0.0117895250269376,0.755176586849311,0.825974391866434
"68","LPAR1","LPAR5",701,-0.00415222495463611,0.912615365869087,0.967925388042971
"69","LPAR1","MRAS",702,0.00207229639677659,0.956291195804151,0.988651615040517
"70","LPAR2","TP53",704,0.148097961859386,8.00433631850775e-05,0.00210113828360829
"71","LPAR2","S1PR1",701,-0.0937009470041922,0.0130684271087652,0.0675279875370029
"72","LPAR2","LPAR6",701,0.0844227790124138,0.0254032950240051,0.106693839100822
"73","LPAR2","MRAS",703,-0.0755094722835673,0.0453531384168461,0.164209639095477
"74","LPAR2","PML",702,-0.0593146483968014,0.116382467945098,0.292860828223053
"75","LPAR2","NRAS",704,-0.0526395817977748,0.162964167667788,0.32906226163688
"76","LPAR2","RUNX1",702,-0.0418148565461212,0.268550825348639,0.440591197837611
"77","LPAR2","LPAR5",704,0.039546327694476,0.294717876616297,0.476082723764788
"78","LPAR5","S1PR1",701,-0.0932593568129961,0.0135055975074006,0.0675279875370029
"79","LPAR5","RUNX1",702,0.0742065710948425,0.049375994496905,0.172815980739168
"80","LPAR5","MRAS",703,-0.0489438357860798,0.194916366397012,0.352865835718728
"81","LPAR5","NRAS",704,-0.0340217745235507,0.367398793929065,0.543336244542983
"82","LPAR5","TP53",704,-0.0293869149359044,0.436271053206042,0.606354563465401
"83","LPAR5","LPAR6",701,0.0292824767969818,0.438885207841623,0.606354563465401
"84","LPAR5","PML",702,-0.0146175272825131,0.699033122854933,0.797809542388782
"85","LPAR6","TP53",702,0.106210951633322,0.00484675708826544,0.0462644994788974
"86","LPAR6","S1PR1",702,0.103676888511672,0.00596924972924615,0.048213170890065
"87","LPAR6","MRAS",702,-0.0837668819178851,0.0264613090809602,0.106862978980801
"88","LPAR6","NRAS",702,0.0260840278711846,0.490200801117405,0.659885693811891
"89","LPAR6","RUNX1",701,-0.0093020518586014,0.805797824014469,0.872255376510508
"90","LPAR6","PML",701,0.000185698734728123,0.996084109607015,0.996084109607015
"91","MRAS","TP53",705,0.10424150390725,0.00559801209910785,0.048213170890065
"92","MRAS","NRAS",705,0.0659446845908743,0.0801614057294983,0.227485070313441
"93","MRAS","S1PR1",702,-0.0569324836706032,0.131816677403888,0.302309550610251
"94","MRAS","PML",704,-0.0264361749204907,0.483735649105967,0.659639521508137
"95","MRAS","RUNX1",704,0.00325116451486145,0.931378911646923,0.977947857229269
"96","NRAS","RUNX1",704,0.0960801313320681,0.0107517001047667,0.0675279875370029
"97","NRAS","TP53",706,0.0494770646627188,0.189144853466773,0.352865835718728
"98","NRAS","S1PR1",702,0.0179989587787659,0.634020084861147,0.75676820494172
"99","NRAS","PML",704,0.000688226786089907,0.985456748071601,0.994932293726136
"100","PML","S1PR1",701,0.0999733359227048,0.00807662971854196,0.0605747228890647
"101","PML","RUNX1",704,0.0465882257655299,0.216979739254531,0.38615038341908
"102","PML","TP53",704,-0.0309738622263428,0.411893569972142,0.592449655439382
"103","RUNX1","TP53",704,0.153718535625963,4.20835517191776e-05,0.00153192018407193
"104","RUNX1","S1PR1",701,0.13162564009757,0.000475900151947814,0.00740758418782971
"105","S1PR1","TP53",702,0.0176056248932499,0.641451145141077,0.75676820494172
